"name","website url","symbol text","symbol img url","status","USD raised","time","sale price","current price","return","whitepaper url"
"Betmaster","https://betmaster.io/","","https://www.tokendata.io/assets/logos/betmaster.png","Completed","$5,244,313.00","09/06/2017 - 12/31/2017","","","","https://s3.eu-central-1.amazonaws.com/betmaster-ico/docs/ICO+Prospectus.pdf"
"Humaniq","https://humaniq.co/","HMQ","https://www.tokendata.io/assets/logos/humaniq.png","Completed","$5,163,000.00","04/06/2017 - 04/27/2017","$0.041","$0.028","0.68x","https://drive.google.com/file/d/0Byp7u8_3me5yQlBVRjR6UTk1M1k/view"
"Air platform","http://www.sphre.co/","XID","https://www.tokendata.io/assets/logos/air%20platform.png","Completed","$5,109,781.00","06/01/2017 - 06/30/2017","$0.201","$0.034","0.17x","http://www.sphre.co/cs/downloads/Air_Platform_Whitepaper.pdf"
"Hellogold","https://www.hellogold.org/","HGT","https://www.tokendata.io/assets/logos/hellogold.png","Completed","$5,101,485.00","08/28/2017 - 10/02/2017","$0.019","$0.003","0.15x","https://www.hellogold.org/downloads/HelloGoldTechnicalWhitepaper.pdf"
"INCX","https://internationalcryptox.io/","","https://www.tokendata.io/assets/logos/incx.png","Completed","$5,100,000.00","06/11/2018 - 06/29/2018","","","","https://internationalcryptox.io/assets/pdfs/incx-wp.pdf"
"Inmediate","https://inmediate.io/","","https://www.tokendata.io/assets/logos/inmediate.png","Completed","$5,100,000.00","07/18/2018 - 08/15/2018","","","","https://inmediate.io/Inmediate_Whitepaper.pdf"
"SportyFi","https://sportyfi.io/","","https://www.tokendata.io/assets/logos/sportyfi.png","Completed","$5,087,896.00","11/21/2017 - 12/08/2017","","","","https://sportyfi.io/SPORTYFI-Whitepaper.pdf"
"DCORP","https://www.dcorp.it/","DRP","https://www.tokendata.io/assets/logos/dcorp.png","Completed","$5,048,937.00","06/01/2017 - 06/29/2017","$0.624","$0.082","0.13x","https://github.com/frankbonnet/DCORP-Whitepaper/blob/master/whitepaper%20v0.3.2_EN-revised.pdf"
"Starta","http://startacapital.com/","STA","https://www.tokendata.io/assets/logos/starta.png","Completed","$5,033,960.00","07/04/2017 - 07/04/2017","$1.000","$0.360","0.36x","https://startaico.com/files/whitepaper.pdf"
"Boatpilot","https://www.boatpilot.io/","","https://www.tokendata.io/assets/logos/boatpilot.png","Completed","$5,025,224.00","04/01/2018 - 04/30/2018","","","",""
"Etherflyer","https://tcash.io/","","https://www.tokendata.io/assets/logos/etherflyer.png","Completed","$5,005,516.00","12/02/2017 - 12/24/2017","","","","https://tcash.io/pdf/tcash_whitepaper_en.pdf"
"WeTrust","https://wetrust.io/","TRST","https://www.tokendata.io/assets/logos/wetrust.png","Completed","$5,000,000.00","03/02/2017 - 04/14/2017","$0.063","$0.027","0.44x","https://github.com/WeTrustPlatform/documents/blob/master/WeTrustWhitePaper.pdf"
"Boontech","https://boon.vc/","","https://www.tokendata.io/assets/logos/boontech.png","Completed","$5,000,000.00","12/05/2017 - 01/15/2018","","","","https://boon.vc/whitepaper"
"Simdaq","https://simdaq.com/","","https://www.tokendata.io/assets/logos/tokendata.png","Completed","$5,000,000.00","01/25/2018 - 03/08/2018","","","","https://simdaq.com/upload/SMDQ.pdf"
"Moonlight","https://moonlight.io/","","https://www.tokendata.io/assets/logos/tokendata.png","Completed","$5,000,000.00","08/11/2018 - 08/31/2018","","","","https://assets.moonlight.io/docs/wp/moonlight_en-us.pdf"
"Endo","https://endo.im/","","https://www.tokendata.io/assets/logos/endo.png","Completed","$5,000,000.00","07/25/2018 - 08/25/2018","","","","https://endo.im/whitepaper/"
"Hacken","https://hacken.io/","HKN","https://www.tokendata.io/assets/logos/hacken.png","Completed","$4,976,170.00","10/31/2017 - 11/30/2017","$1.071","$0.575","0.54x",""
"Snip","https://www.snip.network/","","https://www.tokendata.io/assets/logos/snip.png","Completed","$4,942,877.00","09/30/2017 - 10/28/2017","","","","https://media.snip.today/Snip_Whitepaper_en.pdf"
"TokenStars","https://tokenstars.com/ace/","TEAM","https://www.tokendata.io/assets/logos/tokenstars.png","Completed","$4,928,107.00","09/13/2017 - 10/31/2017","$0.588","$0.021","0.04x","http://ace.tokenstars.com/upload/files/ace_by_tokenstars_whitepaper.pdf"
"Aeron","https://aeron.aero/","","https://www.tokendata.io/assets/logos/aeron.png","Completed","$4,909,918.00","09/01/2017 - 10/31/2017","","","","https://aeron.aero/AeronWhitepaper.pdf"
"Mothership","https://mothership.cx/","MSP","https://www.tokendata.io/assets/logos/mothership.png","Completed","$4,819,379.00","07/05/2017 - 07/14/2017","$0.034","$0.074","2.15x","https://mothership.cx/documents/whitepaper.pdf"
"FIC Network","http://factury.co/#/fixnet/","","https://www.tokendata.io/assets/logos/tokendata.png","Completed","$4,800,000.00","04/26/2018 - 05/26/2018","","","","https://drive.google.com/file/d/0ByzKCCWTHkioZzRhTThXSi0zcWM/view"
"DS PLUS","https://pluscoin.io/","","https://www.tokendata.io/assets/logos/ds%20plus.png","Completed","$4,792,435.00","09/10/2017 - 12/31/2017","","","","https://pluscoin.io/whitepaper/WP%20PlusCoin%20-%20(ENG).pdf"
"Flixxo","http://www.flixxo.com/","FLIXX","https://www.tokendata.io/assets/logos/flixxo.png","Completed","$4,721,733.00","10/24/2017 - 11/23/2017","$0.075","$0.034","0.46x",""
"Synereo","https://www.synereo.com/","","https://www.tokendata.io/assets/logos/synereo.png","Completed","$4,700,000.00","09/16/2016 - 10/18/2016","","","","https://docs.google.com/document/d/1xmRvAjJEQ72-sR9luS34TG0BOpPn_6ztZjYBFCByKxo/edit"
"Alt Estate","https://alt.estate/","","https://www.tokendata.io/assets/logos/alt%20estate.png","Completed","$4,593,121.00","08/01/2018 - 08/01/2018","","","","https://alt.estate/upload/files/altestate_whitepaper.pdf"
"Rex","http://rexmls.com/","REX","https://www.tokendata.io/assets/logos/rex.png","Completed","$4,532,921.00","07/31/2017 - 08/28/2017","$0.262","$0.113","0.43x","https://github.com/rexmls/whitepaper/blob/master/readme.md"
"STeX","https://stex.exchange/","","https://www.tokendata.io/assets/logos/stex.png","Completed","$4,521,900.00","08/07/2017 - 09/30/2017","","","","https://stex.exchange/media/pdf/whitepaper.pdf"
"Ecobit","http://ecobit.io/","ECOB","https://www.tokendata.io/assets/logos/ecobit.png","Completed","$4,500,000.00","04/09/2017 - 06/15/2017","$0.010","$0.008","0.78x","http://www.ecobit.io/technology.html"
"Presearch","http://presearch.io/","","https://www.tokendata.io/assets/logos/presearch.png","Planned","$4,500,000.00","","","","","https://www.presearch.io/uploads/WhitePaper.pdf"
"Matryx","http://matryx.ai/","","https://www.tokendata.io/assets/logos/matryx.png","Completed","$4,462,473.00","09/13/2017 - 11/21/2017","","","","http://matryx.ai/site/wp-content/uploads/2017/07/matryx-whitepaper-v1.52.pdf"
"Dent","https://www.dentcoin.com/","DENT","https://www.tokendata.io/assets/logos/dent.png","Completed","$4,386,168.00","07/12/2017 - 07/27/2017","$0.000","$0.002","5.15x","https://www.dentcoin.com/whitepaper"
"Betex","https://betexlab.com/","","https://www.tokendata.io/assets/logos/betex.png","Completed","$4,360,000.00","03/01/2018 - 04/14/2018","","","","https://betexlab.com/betex-wp.pdf"
"Hamster","https://hmstr.io/","","https://www.tokendata.io/assets/logos/hamster.png","Completed","$4,300,000.00","02/19/2018 - 05/21/2018","","","","https://hmstr.io/whitepaper"
"Smartgold","https://smartgold.so/","","https://www.tokendata.io/assets/logos/smartgold.png","Completed","$4,275,000.00","03/25/2018 - 04/25/2018","","","","https://smartgold.so/whitepaper/WPeng.pdf"
"BlitzPredict","https://www.blitzpredict.io/","","https://www.tokendata.io/assets/logos/blitzpredict.png","Completed","$4,227,600.00","02/12/2018 - 03/08/2018","","","","https://www.blitzpredict.io/static/media/BlitzPredictWhitepaper-en.24ece336.pdf"
"X8currency","https://x8currency.com/","","https://www.tokendata.io/assets/logos/x8currency.png","Completed","$4,216,000.00","01/05/2018 - 01/13/2018","","","","https://x8currency.com/wp-content/uploads/X8-and-ARM-Technology-whitepaper.pdf"
"Streamity","http://www.streamity.org/","","https://www.tokendata.io/assets/logos/streamity.png","Completed","$4,200,000.00","03/12/2018 - 08/06/2018","","","","https://streamity.org/uploads/docs/ru/Whitepaper_Streamity_ru.pdf"
"Quantum Resistant Ledger","https://theqrl.org/","QRL","https://www.tokendata.io/assets/logos/quantum%20resistant%20ledger.png","Completed","$4,160,000.00","05/01/2017 - 05/24/2017","$0.107","$0.264","2.47x","https://github.com/theQRL/QRL/blob/master/QRL_whitepaper.pdf"
"Decent","https://decent.ch/","DCT","https://www.tokendata.io/assets/logos/decent.png","Completed","$4,126,300.00","09/11/2016 - 11/06/2016","$0.107","$0.231","2.15x","http://www.the-blockchain.com/docs/Decentralized%20Open-Source%20Content%20Distribution%20(DECENT)%20whitepaper.pdf"
"Obsidian","https://obsidianplatform.com/","ODN","https://www.tokendata.io/assets/logos/obsidian.png","Completed","$4,073,497.00","07/07/2017 - 08/25/2017","$0.204","$0.004","0.02x","https://drive.google.com/file/d/0B5ffnLUWqKkMMG1YTXUtNjNvOGc/view"
"Investfeed","https://www.investfeed.com/","IFT","https://www.tokendata.io/assets/logos/investfeed.png","Completed","$4,047,929.00","07/23/2017 - 08/07/2017","$0.021","$0.012","0.55x","https://www.investfeed.com/upload/investFeedInc.PreSales.FINAL.pdf"
"Auctus","https://auctus.org/","AUC","https://www.tokendata.io/assets/logos/auctus.png","Completed","$4,029,663.00","04/10/2018 - 04/21/2018","$0.303","$0.035","0.12x","https://dl.auctus.org/Auctus_Whitepaper.pdf"
"Aigang","https://aigang.network/","","https://www.tokendata.io/assets/logos/aigang.png","Completed","$4,000,000.00","11/15/2017 - 12/15/2017","","","","https://docs.google.com/document/d/1WE-ZTN0Jf9Bo2Xj-7sUbLGmMtihybYDadEsgEKEy9Dc/edit?usp=sharing"
"Asura Coin","https://asuracoin.io/","","https://www.tokendata.io/assets/logos/asura%20coin.png","Completed","$4,000,000.00","06/02/2018 - 08/02/2018","","","","https://asuracoin.io/whitepaper.pdf"
"Joyso","https://joyso.io/","","https://www.tokendata.io/assets/logos/joyso.png","Completed","$3,972,757.00","03/01/2018 - 03/21/2018","","","","https://joyso.io/#whitepaper"
"Serenity Financial","https://serenity-financial.io/","","https://www.tokendata.io/assets/logos/serenity%20financial.png","Completed","$3,935,974.00","01/25/2018 - 03/07/2018","","","","https://serenity-financial.io/static/downloads/serenity_financial_eng.pdf"
"Caviar","https://www.caviar.io/","","https://www.tokendata.io/assets/logos/tokendata.png","Completed","$3,922,763.00","12/01/2017 - 01/31/2018","","","","https://s3.amazonaws.com/caviar-presentations/CaviarWhitepaper.pdf"
"ALIS","https://alismedia.jp/","ALIS","https://www.tokendata.io/assets/logos/alis.png","Completed","$3,842,394.00","09/01/2017 - 09/29/2017","$0.102","$0.044","0.43x","https://alisproject.github.io/whitepaper/whitepaper_v1.01.pdf"
"Crypviser","https://ico.crypviser.net/","","https://www.tokendata.io/assets/logos/crypviser.png","Completed","$3,822,606.00","05/20/2017 - 06/30/2017","","","","https://ico.crypviser.net/static/docs/CrypViserWhitepaper_en.pdf"
"ODEM","https://odem.io/","","https://www.tokendata.io/assets/logos/odem.png","Completed","$3,814,182.00","02/17/2018 - 03/17/2018","","","","http://odem.io/docs/whitepaper/ODEM.IO-Whitepaper.pdf"
"Antshares","https://www.antshares.org/","NEO","https://www.tokendata.io/assets/logos/antshares.png","Completed","$3,758,871.00","08/08/2016 - 09/07/2016","$0.188","$16.569","88.16x","https://github.com/AntShares/AntShares/wiki"
"NEO","http://neo.org/","NEO","https://www.tokendata.io/assets/logos/neo.png","Completed","$3,758,871.00","08/08/2016 - 09/07/2016","$0.188","$19.070","101.47x","https://github.com/AntShares/AntShares/wiki"
"Bgogo","https://bgogo.com/","","https://www.tokendata.io/assets/logos/bgogo.png","Completed","$3,750,030.00","09/15/2018 - 09/16/2018","","","","https://bgogo.com/assets/white-paper/BGG-Token-Whitepaper-v2.0EN.pdf"
"Money Rebel","https://moneyrebel.io/","","https://www.tokendata.io/assets/logos/money%20rebel.png","Completed","$3,747,962.00","10/03/2017 - 05/15/2018","","","",""
"Game Machine","https://gamemachine.io/","","https://www.tokendata.io/assets/logos/game%20machine.png","Completed","$3,673,960.00","12/14/2017 - 01/31/2018","","","","https://gamemachine.io/token-sale/whitepaper"
"Etherisc","https://camp.etherisc.com/","","https://www.tokendata.io/assets/logos/etherisc.png","Completed","$3,622,580.00","06/25/2018 - 07/23/2018","","","","https://github.com/etherisc/hackathon/raw/master/papers/Etherisc_Whitepaper_0.3.pdf"
"Cointed","http://www.cointedtoken.com/","","https://www.tokendata.io/assets/logos/cointed.png","Completed","$3,502,044.00","10/20/2017 - 02/28/2018","","","","https://cointedtoken.com/COINTED_Whitepaper.pdf"
"Ethersportz","https://ethersportz.com/","ESZ","https://www.tokendata.io/assets/logos/ethersportz.png","Completed","$3,500,000.00","01/18/2018 - 01/18/2018","$0.500","$0.053","0.11x","https://ethersportz.com/whitepaper.pdf"
"Xwin","https://xwin.io/en","","https://www.tokendata.io/assets/logos/xwin.png","Completed","$3,439,622.00","01/01/2018 - 01/31/2018","","","","https://xwin.io/en/white_paper"
"chainium","https://www.chainium.io/","CHX","https://www.tokendata.io/assets/logos/chainium.png","Completed","$3,421,055.00","03/01/2018 - 04/04/2018","$0.050","$0.020","0.40x","https://www.chainium.io/wp-content/uploads/2017/11/Chainium_Technical_Whitepaper_v2.1.pdf"
"Lunyr","https://lunyr.com/","LUN","https://www.tokendata.io/assets/logos/lunyr.png","Completed","$3,400,000.00","03/29/2017 - 04/26/2017","$1.612","$4.769","2.96x","https://github.com/Lunyr/Lunyr/blob/master/Lunyr_White_Paper_ENG.pdf"
"Crystal Clear Services","http://crystal-clear.io/","","https://www.tokendata.io/assets/logos/crystal%20clear%20services.png","Completed","$3,394,710.00","09/01/2017 - 10/08/2017","","","","http://crystal-clear.io/Whitepaper_english.pdf"
"Truegame","https://ico.truegame.io/#","","https://www.tokendata.io/assets/logos/truegame.png","Completed","$3,374,387.00","04/16/2018 - 04/30/2018","","","","https://ico.truegame.io/docs/whitepaper_en.pdf"
"Taklimakan Network","https://www.taklimakan.io/?utm_source=TokenData&utm_medium=listing","TKLN","https://www.tokendata.io/assets/logos/taklimakan%20network.png","Completed","$3,316,000.00","04/01/2018 - 08/31/2018","","","","https://taklimakan.io/taklimakan-whitepaper-eng.pdf"
"Zipper","https://zipperglobal.com/","","https://www.tokendata.io/assets/logos/zipper.png","Completed","$3,231,091.00","11/30/2017 - 01/04/2018","","","","https://zipperglobal.com/whitepaper.pdf"
"MeeTip","https://www.meetip.io/","","https://www.tokendata.io/assets/logos/tokendata.png","Completed","$3,226,597.00","11/17/2017 - 12/17/2017","","","","https://www.meetip.io/pdf/WhitePaper.pdf"
"ERISTICA","https://eristica.com/","","https://www.tokendata.io/assets/logos/eristica.png","Completed","$3,205,227.00","12/07/2017 - 02/07/2018","","","","https://eristica.com/wp/wp_en.pdf"
"Databroker DAO","https://databrokerdao.com/","","https://www.tokendata.io/assets/logos/databroker%20dao.png","Completed","$3,204,192.00","04/26/2018 - 06/30/2018","","","","https://blckc.hn/databrokerdao-whitepaper"
"Coss","https://coss.io/","COSS","https://www.tokendata.io/assets/logos/coss.png","Completed","$3,168,713.00","08/08/2017 - 09/08/2017","$0.040","$0.067","1.69x","https://coss.io/documents/coss-whitepaper-v3.pdf"
"SRG","https://srg.io/","","https://www.tokendata.io/assets/logos/srg.png","Completed","$3,163,973.00","11/20/2017 - 01/15/2018","","","","https://srg.io/files/srg_white_paper_eng.pdf"
"Rotharium","http://www.rotharium.io/en/","","https://www.tokendata.io/assets/logos/rotharium.png","Completed","$3,153,026.00","12/13/2017 - 02/13/2018","","","","https://www.rotharium.io/pdf/Rotharium_Whitepaper.pdf"
"Arcona","https://www.arcona.io/","","https://www.tokendata.io/assets/logos/arcona.png","Completed","$3,148,950.00","11/27/2017 - 07/15/2018","","","","https://docs.google.com/document/d/1qgIKDwD_w51SMpc-eHNTDgqfeN3eFT47yt6kn1kRebs/edit"
"Corion","https://www.corion.io/","","https://www.tokendata.io/assets/logos/corion.png","Completed","$3,100,950.00","06/18/2017 - 08/26/2017","","","","https://corion.io/doc/businesswhitepaper_v1.3_pub.pdf"
"Foodcoin","https://www.foodcoin.io/","","https://www.tokendata.io/assets/logos/foodcoin.png","Completed","$3,061,918.00","08/23/2017 - 09/23/2017","","","",""
"MyBit","https://mybit.io/","MYB","https://www.tokendata.io/assets/logos/mybit.png","Completed","$3,036,000.00","07/17/2017 - 08/16/2017","$1.984","","","https://mybit.io/docs/MyBit_Whitepaper_v0.13.pdf"
"Rasputin Online","https://ico.rasputinonline.com/","","https://www.tokendata.io/assets/logos/rasputin%20online.png","Completed","$3,027,322.00","07/17/2017 - 08/26/2017","","","","https://ico.rasputinonline.com/#whitepaper"
"Internet of Coins","https://internetofcoins.org/","","https://www.tokendata.io/assets/logos/internet%20of%20coins.png","Completed","$3,000,000.00","03/21/2017 - 06/21/2017","","","","https://internetofcoins.org/public/uploads/whitepaper_ioc.pdf"
"EncryptoTel","http://ico.encryptotel.com/","ETT","https://www.tokendata.io/assets/logos/encryptotel.png","Completed","$3,000,000.00","04/24/2017 - 05/10/2017","$0.084","$0.020","0.23x","http://ico.encryptotel.com/assets/pdf/EncryptoTel_WP_v1.pdf"
"Skincoin","https://skincoin.org/","SKIN","https://www.tokendata.io/assets/logos/skincoin.png","Completed","$3,000,000.00","06/21/2017 - 07/21/2017","$0.034","$0.011","0.33x",""
"CREDEROOM","https://www.crederoom.com/","","https://www.tokendata.io/assets/logos/tokendata.png","Completed","$3,000,000.00","10/15/2017 - 11/15/2017","","","","https://www.crederoom.com/documents/whitepaper.pdf"
"Genie ICO","https://www.genieico.net/","","https://www.tokendata.io/assets/logos/genie%20ico.png","Completed","$3,000,000.00","12/15/2017 - 03/01/2018","","","","https://drive.google.com/open?id=1yMSiaf5kG9e7SxK1-GhDOqBV5IxyJ4aT"
"Bitrace","https://www.bitrace-token.com/","","https://www.tokendata.io/assets/logos/bitrace.png","Completed","$3,000,000.00","01/25/2018 - 04/25/2018","","","","https://www.bitrace-token.com/whitepaper-english"
"TokenGo","https://tokengoplatform.com/","","https://www.tokendata.io/assets/logos/tokengo.png","Completed","$2,988,746.00","12/10/2017 - 05/31/2018","","","","https://tokengoplatform.com/pdf/tokengo_whitepaper_EN.pdf"
"HydroMiner","https://www.hydrominer.org/","","https://www.tokendata.io/assets/logos/hydrominer.png","Completed","$2,904,743.00","09/25/2017 - 11/15/2017","","","","https://hydrominer.org/whitepaper.pdf"
"The Divi Project","https://www.diviproject.org/","DIVX","https://www.tokendata.io/assets/logos/the%20divi%20project.png","Completed","$2,902,872.00","10/27/2017 - 11/23/2017","$0.564","$0.009","0.02x","https://www.diviproject.org/assets/files/wp-en.pdf"
"Melonport","https://melonport.com/","MLN","https://www.tokendata.io/assets/logos/melonport.png","Completed","$2,900,000.00","02/15/2017 - 02/16/2017","$5.800","$10.492","1.81x","https://github.com/melonproject/greenpaper/blob/master/melonprotocol.pdf"
"Genesis Vision","https://genesis.vision/","GVT","https://www.tokendata.io/assets/logos/genesis%20vision.png","Completed","$2,836,724.00","09/15/2017 - 11/15/2017","$0.761","$14.119","18.55x","https://genesis.vision/white-paper-eng.pdf"
"Lykke","https://www.lykke.com/","LKK","https://www.tokendata.io/assets/logos/lykke.png","Completed","$2,800,000.00","09/16/2016 - 10/09/2016","$0.056","$0.034","0.61x","https://lykke.com/ico/Whitepaper_LykkeExchange.pdf"
"Bitjob","https://bitjob.io/","","https://www.tokendata.io/assets/logos/bitjob.png","Completed","$2,771,455.00","09/12/2017 - 10/13/2017","","","","https://bitjob.io/#whitepaper"
"Footballcoin","https://www.footballcoin.io/","","https://www.tokendata.io/assets/logos/footballcoin.png","Completed","$2,733,184.00","05/24/2017 - 06/23/2017","","","","https://www.footballcoin.io/about-footballcoin/footballcoin-game-how-it-works/"
"Edgeless","https://edgeless.io/","EDG","https://www.tokendata.io/assets/logos/edgeless.png","Completed","$2,700,000.00","02/28/2017 - 03/21/2017","$0.039","$0.152","3.87x","https://github.com/EdgelessCasino/White_paper/blob/master/White_Paper.pdf"
"Nitro","https://www.nitro.live/","","https://www.tokendata.io/assets/logos/nitro.png","Completed","$2,700,000.00","11/18/2017 - 12/26/2017","","","","https://www.dropbox.com/s/eeib16z25oe8i6x/Nitro%20Whitepaper%20Final%20v2.2.pdf?dl=0"
"Graphgrail","https://graphgrail.com/","","https://www.tokendata.io/assets/logos/graphgrail.png","Completed","$2,700,000.00","02/19/2018 - 05/25/2018","","","","https://graphgrail.com/sites/default/files/graphgrailai_whitepaper_en.pdf"
"Suretly","https://www.ico.suretly.com/","","https://www.tokendata.io/assets/logos/suretly.png","Completed","$2,659,256.00","07/11/2017 - 08/11/2017","","","","https://suretly.com/docs/Suretly_whitepaper_v1.2.pdf"
"Cryptoping","https://cryptoping.tech/","PING","https://www.tokendata.io/assets/logos/cryptoping.png","Completed","$2,608,052.00","05/25/2017 - 06/24/2017","$0.290","$0.059","0.20x","https://cryptoping.tech/cp_whitepaper_en.pdf"
"Kleros","https://kleros.io/","","https://www.tokendata.io/assets/logos/kleros.png","Completed","$2,606,431.00","05/15/2018 - 07/15/2018","","","","https://kleros.io/assets/whitepaper.pdf"
"BCSHOP","https://bcshop.io/","","https://www.tokendata.io/assets/logos/bcshop.png","Completed","$2,583,840.00","01/14/2018 - 01/15/2018","","","","https://bcshop.io/uploads/whitepaper/whitepaper_en.pdf"
"Concierge","https://token.concierge.io/","","https://www.tokendata.io/assets/logos/concierge.png","Completed","$2,576,881.00","03/31/2018 - 04/21/2018","","","","https://www.concierge.io/Concierge.io-Whitepaper.pdf"
"Travala","https://project.travala.com/","AVA","https://www.tokendata.io/assets/logos/tokendata.png","Completed","$2,576,881.00","03/31/2018 - 04/21/2018","$0.097","$0.064","0.66x","https://www.travala.com/Travala-Whitepaper.pdf"
"Reality Clash","http://reality-clash.com/","","https://www.tokendata.io/assets/logos/reality%20clash.png","Completed","$2,563,479.00","08/01/2017 - 09/29/2017","","","","http://reality-clash.com/wp-content/uploads/materials/RealityClash-white-paper.pdf"
"Swarm Fund","https://www.swarm.fund/","","https://www.tokendata.io/assets/logos/swarm%20fund.png","Completed","$2,532,405.00","10/21/2017 - 10/25/2017","","","","https://www.swarm.fund/whitepapers/Cooperative-Ownership-Platform-for-Real-Assets.pdf"
"Astronaut Capital","https://astronaut.capital/","","https://www.tokendata.io/assets/logos/astronaut%20capital.png","Completed","$2,532,405.00","09/20/2017 - 10/25/2017","","","","https://astronaut.docsend.com/view/p4iazfu"
"iDice","https://idice.io/","ICE","https://www.tokendata.io/assets/logos/idice.png","Completed","$2,500,000.00","06/12/2017 - 06/26/2017","","","","https://crowdsale.idice.io/idice-whitepaper.pdf"
"AB Chain","https://ab-chain.com/","","https://www.tokendata.io/assets/logos/ab%20chain.png","Completed","$2,500,000.00","02/19/2018 - 03/31/2018","","","","https://ab-chain.com/storage/whitepapers/AB-CHAIN_whitepaper_EN.pdf"
"MyWish","https://mywish.io/","","https://www.tokendata.io/assets/logos/mywish.png","Completed","$2,500,000.00","10/25/2017 - 11/24/2017","","","","https://drive.google.com/file/d/0B3ZY9oXSrdvjYjlCLUxra3oxZHM/view"
"VEVUE","https://www.vevue.com/","","https://www.tokendata.io/assets/logos/vevue.png","Completed","$2,500,000.00","12/01/2017 - 01/31/2018","","","","https://docs.google.com/document/d/1C8UNzLF49XVpId6x-CJNS70vXVMlpI69o7AycRwQljo/edit#"
"Velix","https://www.velix.id/","","https://www.tokendata.io/assets/logos/velix.png","Completed","$2,500,000.00","04/17/2018 - 05/15/2018","","","","https://www.velix.id/assets/Velix.ID%20White%20Paper.pdf"
"DA Powerplay","https://www.dapowerplay.com/","","https://www.tokendata.io/assets/logos/da%20powerplay.png","Completed","$2,478,666.00","09/19/2017 - 09/25/2017","","","","https://www.dapowerplay.com/system/wp-content/uploads/2017/08/DigitalAssetsPowerPlayWhitePaper.pdf"
"MEGA X","https://www.megax.io/","","https://www.tokendata.io/assets/logos/mega%20x.png","Completed","$2,474,160.00","10/09/2017 - 11/17/2017","","","","https://static1.squarespace.com/static/59898698914e6b1524b88d5d/t/59cc7f97d7bdceccebcc4a89/1506574269604/MEGAX+WHITEPAPER+FINAL.compressed.pdf"
"Blockbid","https://blockbid.com.au/","","https://www.tokendata.io/assets/logos/tokendata.png","Completed","$2,449,274.00","10/23/2017 - 12/16/2017","","","","https://blockbid.com.au/assets/documents/blockbid_whitepaper.pdf"
"SKYFchain","https://www.skyfchain.io/","SKYFT","https://www.tokendata.io/assets/logos/skyfchain.png","Completed","$2,425,182.00","03/10/2018 - 03/31/2018","$0.065","","","https://fpivc.box.com/v/SKYFchainWhitePaper"
"Smartbillions","https://smartbillions.com/","","https://www.tokendata.io/assets/logos/smartbillions.png","Completed","$2,395,765.00","10/16/2017 - 10/29/2017","","","","https://smartbillions.com/docs/SmartBillions_Smartpaper.pdf?"
"Talao","https://ico.talao.io/","","https://www.tokendata.io/assets/logos/talao.png","Completed","$2,380,017.00","07/02/2018 - 07/29/2018","","","",""
"Mingo","https://mingocoin.com/","","https://www.tokendata.io/assets/logos/mingo.png","Completed","$2,380,000.00","04/18/2018 - 05/30/2018","","","","https://firebasestorage.googleapis.com/v0/b/mingo-2bdfc.appspot.com/o/Whitepaper.pdf?alt=media&token=e709359a-b76f-4230-b9a8-2c374ccc464d"
"Privatix","https://privatix.io/","PRIX","https://www.tokendata.io/assets/logos/privatix.png","Completed","$2,376,998.00","10/19/2017 - 11/16/2017","$2.245","$0.824","0.37x","https://privatix.io/#whitepaper"
"Exolover","https://exolover.io/","","https://www.tokendata.io/assets/logos/exolover.png","Completed","$2,317,600.00","06/28/2018 - 07/30/2018","","","","https://exolover.io/whitepaper.pdf"
"Worldcore","https://worldcore.com/","","https://www.tokendata.io/assets/logos/worldcore.png","Completed","$2,309,377.00","10/02/2017 - 12/15/2017","","","","https://worldcore.com/Worldcore.pdf"
"AIDA Service","https://ico.aida.market/","","https://www.tokendata.io/assets/logos/aida%20service.png","Completed","$2,304,106.00","02/28/2018 - 05/25/2018","","","","https://docsend.com/view/qcxn8j4"
"SmartOne","https://smartone.legal/","","https://www.tokendata.io/assets/logos/smartone.png","Completed","$2,300,000.00","10/30/2017 - 12/03/2017","","","","https://smartone.legal/wp-content/uploads/2017/09/SmartOne_Whitepaper.pdf"
"Belrium","https://www.belrium.io/","","https://www.tokendata.io/assets/logos/belrium.png","Completed","$2,280,000.00","09/08/2017 - 10/08/2017","","","",""
"Altocar","https://altocar-ico.com/","","https://www.tokendata.io/assets/logos/altocar.png","Completed","$2,279,313.00","10/10/2017 - 11/09/2017","","","","https://drive.google.com/open?id=0B_kmY5mKXSK5c0RNSVVwYlZiN2M"
"Bitquence","https://www.bitquence.com/main/","ETHOS","https://www.tokendata.io/assets/logos/bitquence.png","Completed","$2,266,876.00","06/28/2017 - 07/16/2017","$0.033","$0.330","10.00x","http://www.bitquence.com/wp-content/uploads/2017/05/BitquenceWhitePaper.pdf"
"Sola","https://sola.foundation/","","https://www.tokendata.io/assets/logos/tokendata.png","Completed","$2,233,700.00","11/27/2017 - 12/22/2017","","","","https://sola.foundation/Sola_Whitepaper_V1-1_EN.pdf"
"daneel","https://daneel.io/","","https://www.tokendata.io/assets/logos/daneel.png","Completed","$2,233,227.00","02/01/2018 - 03/05/2018","$0.077","$0.037","0.48x","https://daneel.io/whitepaper"
"Mirocana","https://mirocana.com/token-sale/","","https://www.tokendata.io/assets/logos/mirocana.png","Completed","$2,220,541.00","11/19/2017 - 12/19/2017","","","","https://static.mirocana.com/documents/en/WhitePaper.pdf"
